date,symbol,bb_bandwidth
2026-08-08 00:00:00,IFCI,0.1305
2026-08-08 00:00:00,IGIL,0.1144
2026-08-08 00:00:00,IGL,0.0463
2026-08-08 00:00:00,IIFL,0.1753
2026-08-08 00:00:00,IIFLCAPS,0.0249
2026-08-08 00:00:00,IKS,0.1085
2026-08-08 00:00:00,IMFA,0.1714
2026-08-08 00:00:00,INDGN,0.1632
2026-08-08 00:00:00,INDHOTEL,0.0454
2026-08-08 00:00:00,INDIACEM,0.0899
2026-08-08 00:00:00,INDIAGLYCO,0.0752
2026-08-08 00:00:00,INDIAMART,0.178
2026-08-08 00:00:00,INDIANB,0.0861
2026-08-08 00:00:00,INDIASHLTR,0.235
2026-08-08 00:00:00,INDIGO,0.086
2026-08-08 00:00:00,INDIGOPNTS,0.0906
2026-08-08 00:00:00,INDUSINDBK,0.0769
2026-08-08 00:00:00,INDUSTOWER,0.089
2026-08-08 00:00:00,INFY,0.1677
2026-08-08 00:00:00,INOXGREEN,0.1825
2026-08-08 00:00:00,INOXINDIA,0.1256
2026-08-08 00:00:00,INOXWIND,0.0761
2026-08-08 00:00:00,INTELLECT,0.0911
2026-08-08 00:00:00,IOB,0.0525
2026-08-08 00:00:00,IOC,0.0507
2026-08-08 00:00:00,IONEXCHANG,0.1738
2026-08-08 00:00:00,IPCALAB,0.1252
2026-08-08 00:00:00,IRB,0.0506
2026-08-08 00:00:00,IRCON,0.08
2026-08-08 00:00:00,IRCTC,0.0766
2026-08-08 00:00:00,IREDA,0.0422
2026-08-08 00:00:00,IRFC,0.0384
2026-08-08 00:00:00,ITC,0.0516
2026-08-08 00:00:00,ITCHOTELS,0.186
2026-08-08 00:00:00,ITI,0.0695
2026-08-08 00:00:00,IXIGO,0.1639
2026-08-08 00:00:00,J&KBANK,0.2793
2026-08-08 00:00:00,JAIBALAJI,0.1553
2026-08-08 00:00:00,JAINREC,0.1281
2026-08-08 00:00:00,JAMNAAUTO,0.1468
2026-08-08 00:00:00,JAYNECOIND,0.135
2026-08-08 00:00:00,JBMA,0.0699
2026-08-08 00:00:00,JINDALSAW,0.0882
2026-08-08 00:00:00,JINDALSTEL,0.1268
2026-08-08 00:00:00,JIOFIN,0.1845
2026-08-08 00:00:00,JKCEMENT,0.0943
2026-08-08 00:00:00,JKLAKSHMI,0.0457
2026-08-08 00:00:00,JKPAPER,0.125
2026-08-08 00:00:00,JKTYRE,0.0947
2026-08-08 00:00:00,JLHL,0.1402
2026-08-08 00:00:00,JMFINANCIL,0.0724
2026-08-08 00:00:00,JPPOWER,0.1609
2026-08-08 00:00:00,JSFB,0.2421
2026-08-08 00:00:00,JSL,0.053
2026-08-08 00:00:00,JSLL,0.0883
2026-08-08 00:00:00,JSWCEMENT,0.1051
2026-08-08 00:00:00,JSWDULUX,0.0719
2026-08-08 00:00:00,JSWENERGY,0.0674
2026-08-08 00:00:00,JSWINFRA,0.1384
2026-08-08 00:00:00,JSWSTEEL,0.0928
2026-08-08 00:00:00,JUBLFOOD,0.2161
2026-08-08 00:00:00,JUBLINGREA,0.0624
2026-08-08 00:00:00,JUBLPHARMA,0.1352
2026-08-08 00:00:00,JUSTDIAL,0.205
2026-08-08 00:00:00,JWL,0.0949
2026-08-08 00:00:00,JYOTHYLAB,0.0523
2026-08-08 00:00:00,JYOTICNC,0.1322
2026-08-08 00:00:00,KAJARIACER,0.0744
2026-08-08 00:00:00,KALYANKJIL,0.2196
2026-08-08 00:00:00,KANSAINER,0.1021
2026-08-08 00:00:00,KARURVYSYA,0.2152
2026-08-08 00:00:00,KAYNES,0.3071
2026-08-08 00:00:00,KEC,0.0998
2026-08-08 00:00:00,KEI,0.2103
2026-08-08 00:00:00,KFINTECH,0.1528
2026-08-08 00:00:00,KIMS,0.0465
2026-08-08 00:00:00,KIRLOSBROS,0.0884
2026-08-08 00:00:00,KIRLOSENG,0.1552
2026-08-08 00:00:00,KIRLPNU,0.3223
2026-08-08 00:00:00,KITEX,0.0761
2026-08-08 00:00:00,KNRCON,0.1922
2026-08-08 00:00:00,KOTAKBANK,0.0699
2026-08-08 00:00:00,KPIGREEN,0.1307
2026-08-08 00:00:00,KPIL,0.062
2026-08-08 00:00:00,KPITTECH,0.2117
2026-08-08 00:00:00,KPRMILL,0.1241
2026-08-08 00:00:00,KRBL,0.1179
2026-08-08 00:00:00,KRN,0.1083
2026-08-08 00:00:00,KSB,0.2088
2026-08-08 00:00:00,KSCL,0.1632
2026-08-08 00:00:00,KTKBANK,0.156
2026-08-08 00:00:00,LALPATHLAB,0.2097
2026-08-08 00:00:00,LATENTVIEW,0.0965
2026-08-08 00:00:00,LAURUSLABS,0.2982
2026-08-08 00:00:00,LEMONTREE,0.0817
2026-08-08 00:00:00,LICHSGFIN,0.1285
2026-08-08 00:00:00,LICI,0.1581
2026-08-08 00:00:00,LINDEINDIA,0.1086
2026-08-08 00:00:00,LLOYDSENGG,0.1077
2026-08-08 00:00:00,LLOYDSENT,0.0816
2026-08-08 00:00:00,LLOYDSME,0.1894
